protocol,problem,metric,algorithm,average_rank
fast_t5_n10,df1,migd,DNSGA-II-A,3.15
fast_t5_n10,df1,migd,DNSGA-II-B,6.45
fast_t5_n10,df1,migd,FITO,2.1
fast_t5_n10,df1,migd,KGB-DMOEA,3.75
fast_t5_n10,df1,migd,MDDM-DMOEA,5.45
fast_t5_n10,df1,migd,NSGA-II,1.0
fast_t5_n10,df1,migd,PPS-DMOEA,6.1
fast_t5_n10,df2,migd,DNSGA-II-A,2.0
fast_t5_n10,df2,migd,DNSGA-II-B,6.55
fast_t5_n10,df2,migd,FITO,4.4
fast_t5_n10,df2,migd,KGB-DMOEA,3.0
fast_t5_n10,df2,migd,MDDM-DMOEA,4.75
fast_t5_n10,df2,migd,NSGA-II,1.0
fast_t5_n10,df2,migd,PPS-DMOEA,6.3
fast_t5_n10,df3,migd,DNSGA-II-A,6.05
fast_t5_n10,df3,migd,DNSGA-II-B,4.85
fast_t5_n10,df3,migd,FITO,2.2
fast_t5_n10,df3,migd,KGB-DMOEA,4.45
fast_t5_n10,df3,migd,MDDM-DMOEA,3.7
fast_t5_n10,df3,migd,NSGA-II,2.3
fast_t5_n10,df3,migd,PPS-DMOEA,4.45
fast_t5_n10,df4,migd,DNSGA-II-A,5.05
fast_t5_n10,df4,migd,DNSGA-II-B,4.4
fast_t5_n10,df4,migd,FITO,1.1
fast_t5_n10,df4,migd,KGB-DMOEA,5.7
fast_t5_n10,df4,migd,MDDM-DMOEA,3.1
fast_t5_n10,df4,migd,NSGA-II,5.0
fast_t5_n10,df4,migd,PPS-DMOEA,3.65
fast_t5_n10,df5,migd,DNSGA-II-A,5.85
fast_t5_n10,df5,migd,DNSGA-II-B,5.4
fast_t5_n10,df5,migd,FITO,1.0
fast_t5_n10,df5,migd,KGB-DMOEA,6.0
fast_t5_n10,df5,migd,MDDM-DMOEA,3.35
fast_t5_n10,df5,migd,NSGA-II,2.6
fast_t5_n10,df5,migd,PPS-DMOEA,3.8
fast_t5_n10,df6,migd,DNSGA-II-A,4.0
fast_t5_n10,df6,migd,DNSGA-II-B,6.9
fast_t5_n10,df6,migd,FITO,1.2
fast_t5_n10,df6,migd,KGB-DMOEA,4.2
fast_t5_n10,df6,migd,MDDM-DMOEA,2.75
fast_t5_n10,df6,migd,NSGA-II,3.15
fast_t5_n10,df6,migd,PPS-DMOEA,5.8
fast_t5_n10,df7,migd,DNSGA-II-A,4.95
fast_t5_n10,df7,migd,DNSGA-II-B,5.05
fast_t5_n10,df7,migd,FITO,4.35
fast_t5_n10,df7,migd,KGB-DMOEA,6.15
fast_t5_n10,df7,migd,MDDM-DMOEA,1.9
fast_t5_n10,df7,migd,NSGA-II,1.5
fast_t5_n10,df7,migd,PPS-DMOEA,4.1
fast_t5_n10,df8,migd,DNSGA-II-A,5.05
fast_t5_n10,df8,migd,DNSGA-II-B,4.25
fast_t5_n10,df8,migd,FITO,1.1
fast_t5_n10,df8,migd,KGB-DMOEA,7.0
fast_t5_n10,df8,migd,MDDM-DMOEA,2.3
fast_t5_n10,df8,migd,NSGA-II,5.35
fast_t5_n10,df8,migd,PPS-DMOEA,2.95
fast_t5_n10,df9,migd,DNSGA-II-A,4.55
fast_t5_n10,df9,migd,DNSGA-II-B,5.95
fast_t5_n10,df9,migd,FITO,1.8
fast_t5_n10,df9,migd,KGB-DMOEA,6.95
fast_t5_n10,df9,migd,MDDM-DMOEA,2.85
fast_t5_n10,df9,migd,NSGA-II,1.65
fast_t5_n10,df9,migd,PPS-DMOEA,4.25
moderate_t10_n10,df1,migd,DNSGA-II-A,3.75
moderate_t10_n10,df1,migd,DNSGA-II-B,6.85
moderate_t10_n10,df1,migd,FITO,1.75
moderate_t10_n10,df1,migd,KGB-DMOEA,3.2
moderate_t10_n10,df1,migd,MDDM-DMOEA,5.2
moderate_t10_n10,df1,migd,NSGA-II,1.3
moderate_t10_n10,df1,migd,PPS-DMOEA,5.95
moderate_t10_n10,df2,migd,DNSGA-II-A,2.4
moderate_t10_n10,df2,migd,DNSGA-II-B,6.4
moderate_t10_n10,df2,migd,FITO,4.05
moderate_t10_n10,df2,migd,KGB-DMOEA,2.4
moderate_t10_n10,df2,migd,MDDM-DMOEA,5.5
moderate_t10_n10,df2,migd,NSGA-II,1.2
moderate_t10_n10,df2,migd,PPS-DMOEA,6.05
moderate_t10_n10,df3,migd,DNSGA-II-A,6.1
moderate_t10_n10,df3,migd,DNSGA-II-B,5.25
moderate_t10_n10,df3,migd,FITO,1.55
moderate_t10_n10,df3,migd,KGB-DMOEA,3.9
moderate_t10_n10,df3,migd,MDDM-DMOEA,3.95
moderate_t10_n10,df3,migd,NSGA-II,2.45
moderate_t10_n10,df3,migd,PPS-DMOEA,4.8
moderate_t10_n10,df4,migd,DNSGA-II-A,5.85
moderate_t10_n10,df4,migd,DNSGA-II-B,4.75
moderate_t10_n10,df4,migd,FITO,1.0
moderate_t10_n10,df4,migd,KGB-DMOEA,5.45
moderate_t10_n10,df4,migd,MDDM-DMOEA,3.65
moderate_t10_n10,df4,migd,NSGA-II,3.55
moderate_t10_n10,df4,migd,PPS-DMOEA,3.75
moderate_t10_n10,df5,migd,DNSGA-II-A,6.35
moderate_t10_n10,df5,migd,DNSGA-II-B,5.2
moderate_t10_n10,df5,migd,FITO,1.0
moderate_t10_n10,df5,migd,KGB-DMOEA,5.8
moderate_t10_n10,df5,migd,MDDM-DMOEA,3.3
moderate_t10_n10,df5,migd,NSGA-II,2.0
moderate_t10_n10,df5,migd,PPS-DMOEA,4.35
moderate_t10_n10,df6,migd,DNSGA-II-A,5.1
moderate_t10_n10,df6,migd,DNSGA-II-B,6.65
moderate_t10_n10,df6,migd,FITO,1.6
moderate_t10_n10,df6,migd,KGB-DMOEA,4.65
moderate_t10_n10,df6,migd,MDDM-DMOEA,3.55
moderate_t10_n10,df6,migd,NSGA-II,1.6
moderate_t10_n10,df6,migd,PPS-DMOEA,4.85
moderate_t10_n10,df7,migd,DNSGA-II-A,5.45
moderate_t10_n10,df7,migd,DNSGA-II-B,4.55
moderate_t10_n10,df7,migd,FITO,2.15
moderate_t10_n10,df7,migd,KGB-DMOEA,6.1
moderate_t10_n10,df7,migd,MDDM-DMOEA,2.25
moderate_t10_n10,df7,migd,NSGA-II,2.6
moderate_t10_n10,df7,migd,PPS-DMOEA,4.9
moderate_t10_n10,df8,migd,DNSGA-II-A,4.65
moderate_t10_n10,df8,migd,DNSGA-II-B,3.85
moderate_t10_n10,df8,migd,FITO,1.0
moderate_t10_n10,df8,migd,KGB-DMOEA,6.75
moderate_t10_n10,df8,migd,MDDM-DMOEA,2.4
moderate_t10_n10,df8,migd,NSGA-II,6.25
moderate_t10_n10,df8,migd,PPS-DMOEA,3.1
moderate_t10_n10,df9,migd,DNSGA-II-A,5.65
moderate_t10_n10,df9,migd,DNSGA-II-B,5.45
moderate_t10_n10,df9,migd,FITO,1.0
moderate_t10_n10,df9,migd,KGB-DMOEA,6.75
moderate_t10_n10,df9,migd,MDDM-DMOEA,2.7
moderate_t10_n10,df9,migd,NSGA-II,2.4
moderate_t10_n10,df9,migd,PPS-DMOEA,4.05
severe_t10_n20,df1,migd,DNSGA-II-A,5.5
severe_t10_n20,df1,migd,DNSGA-II-B,4.7
severe_t10_n20,df1,migd,FITO,1.45
severe_t10_n20,df1,migd,KGB-DMOEA,6.95
severe_t10_n20,df1,migd,MDDM-DMOEA,3.65
severe_t10_n20,df1,migd,NSGA-II,1.75
severe_t10_n20,df1,migd,PPS-DMOEA,4.0
severe_t10_n20,df2,migd,DNSGA-II-A,2.25
severe_t10_n20,df2,migd,DNSGA-II-B,6.2
severe_t10_n20,df2,migd,FITO,4.6
severe_t10_n20,df2,migd,KGB-DMOEA,2.75
severe_t10_n20,df2,migd,MDDM-DMOEA,5.3
severe_t10_n20,df2,migd,NSGA-II,1.0
severe_t10_n20,df2,migd,PPS-DMOEA,5.9
severe_t10_n20,df3,migd,DNSGA-II-A,5.9
severe_t10_n20,df3,migd,DNSGA-II-B,5.05
severe_t10_n20,df3,migd,FITO,1.6
severe_t10_n20,df3,migd,KGB-DMOEA,4.05
severe_t10_n20,df3,migd,MDDM-DMOEA,3.6
severe_t10_n20,df3,migd,NSGA-II,3.55
severe_t10_n20,df3,migd,PPS-DMOEA,4.25
severe_t10_n20,df4,migd,DNSGA-II-A,5.35
severe_t10_n20,df4,migd,DNSGA-II-B,4.5
severe_t10_n20,df4,migd,FITO,1.0
severe_t10_n20,df4,migd,KGB-DMOEA,5.6
severe_t10_n20,df4,migd,MDDM-DMOEA,3.2
severe_t10_n20,df4,migd,NSGA-II,5.0
severe_t10_n20,df4,migd,PPS-DMOEA,3.35
severe_t10_n20,df5,migd,DNSGA-II-A,5.55
severe_t10_n20,df5,migd,DNSGA-II-B,4.6
severe_t10_n20,df5,migd,FITO,1.0
severe_t10_n20,df5,migd,KGB-DMOEA,7.0
severe_t10_n20,df5,migd,MDDM-DMOEA,3.2
severe_t10_n20,df5,migd,NSGA-II,2.65
severe_t10_n20,df5,migd,PPS-DMOEA,4.0
severe_t10_n20,df6,migd,DNSGA-II-A,4.9
severe_t10_n20,df6,migd,DNSGA-II-B,5.15
severe_t10_n20,df6,migd,FITO,3.15
severe_t10_n20,df6,migd,KGB-DMOEA,6.8
severe_t10_n20,df6,migd,MDDM-DMOEA,3.4
severe_t10_n20,df6,migd,NSGA-II,1.45
severe_t10_n20,df6,migd,PPS-DMOEA,3.15
severe_t10_n20,df7,migd,DNSGA-II-A,5.2
severe_t10_n20,df7,migd,DNSGA-II-B,4.3
severe_t10_n20,df7,migd,FITO,2.1
severe_t10_n20,df7,migd,KGB-DMOEA,6.25
severe_t10_n20,df7,migd,MDDM-DMOEA,2.45
severe_t10_n20,df7,migd,NSGA-II,3.15
severe_t10_n20,df7,migd,PPS-DMOEA,4.55
severe_t10_n20,df8,migd,DNSGA-II-A,5.45
severe_t10_n20,df8,migd,DNSGA-II-B,4.25
severe_t10_n20,df8,migd,FITO,1.0
severe_t10_n20,df8,migd,KGB-DMOEA,7.0
severe_t10_n20,df8,migd,MDDM-DMOEA,2.5
severe_t10_n20,df8,migd,NSGA-II,4.6
severe_t10_n20,df8,migd,PPS-DMOEA,3.2
severe_t10_n20,df9,migd,DNSGA-II-A,5.65
severe_t10_n20,df9,migd,DNSGA-II-B,5.05
severe_t10_n20,df9,migd,FITO,1.0
severe_t10_n20,df9,migd,KGB-DMOEA,6.75
severe_t10_n20,df9,migd,MDDM-DMOEA,2.25
severe_t10_n20,df9,migd,NSGA-II,3.15
severe_t10_n20,df9,migd,PPS-DMOEA,4.15
