protocol,problem,algorithm,mean,std,ci95_low,ci95_high
fast_t5_n10,df1,DNSGA-II-A,0.2078342169379622,0.026519370137422595,0.19542276966446623,0.22024566421145816
fast_t5_n10,df1,DNSGA-II-B,0.5704845934105061,0.08910485471730921,0.5287822377208514,0.6121869491001607
fast_t5_n10,df1,FITO,0.15821721632528307,0.026500352487554026,0.14581466958590183,0.1706197630646643
fast_t5_n10,df1,KGB-DMOEA,0.2638237195270694,0.05404712048206773,0.23852888851594864,0.28911855053819024
fast_t5_n10,df1,MDDM-DMOEA,0.4813022301994991,0.061231421567115744,0.45264504278051765,0.5099594176184807
fast_t5_n10,df1,NSGA-II,0.10321448998420595,0.01401905277462857,0.09665337132131863,0.10977560864709326
fast_t5_n10,df1,PPS-DMOEA,0.5214389495891146,0.07694930000019673,0.4854255686250941,0.5574523305531349
fast_t5_n10,df2,DNSGA-II-A,0.14716707048256697,0.013976579969560452,0.1406258297043326,0.15370831126080134
fast_t5_n10,df2,DNSGA-II-B,0.43368944116564806,0.04358210589279813,0.41329238774570004,0.4540864945855961
fast_t5_n10,df2,FITO,0.29689964656420076,0.04755956772913617,0.27464108370386114,0.3191582094245404
fast_t5_n10,df2,KGB-DMOEA,0.19034964121202996,0.023746744778013015,0.17923582255034287,0.20146345987371705
fast_t5_n10,df2,MDDM-DMOEA,0.3291585482579745,0.04651368716964242,0.3073894725668725,0.35092762394907656
fast_t5_n10,df2,NSGA-II,0.09702035522502794,0.012285495486647246,0.09127056634727013,0.10277014410278576
fast_t5_n10,df2,PPS-DMOEA,0.4214910380980948,0.057491818037352684,0.39458403900534117,0.4483980371908484
fast_t5_n10,df3,DNSGA-II-A,0.7483084631708719,0.09467191457630039,0.7040006432658071,0.7926162830759363
fast_t5_n10,df3,DNSGA-II-B,0.7015719618174179,0.12175149013816652,0.6445905104296633,0.7585534132051727
fast_t5_n10,df3,FITO,0.5849321890654567,0.05904710588296416,0.557297292854827,0.6125670852760863
fast_t5_n10,df3,KGB-DMOEA,0.6993023178664866,0.06352324876041461,0.6695725223040162,0.7290321134289569
fast_t5_n10,df3,MDDM-DMOEA,0.6596587919563061,0.07505495100574938,0.6245319936124741,0.694785590300138
fast_t5_n10,df3,NSGA-II,0.5573539304879769,0.1378283491769302,0.49284827746009846,0.6218595835158554
fast_t5_n10,df3,PPS-DMOEA,0.6768373186636103,0.07207582702408699,0.6431047932617074,0.7105698440655132
fast_t5_n10,df4,DNSGA-II-A,0.882943475185017,0.219292111569297,0.7803116077563419,0.9855753426136926
fast_t5_n10,df4,DNSGA-II-B,0.8359123104610168,0.17687068037181472,0.7531342839737145,0.918690336948319
fast_t5_n10,df4,FITO,0.4007509467488631,0.09955789328158317,0.35415641842026524,0.4473454750774609
fast_t5_n10,df4,KGB-DMOEA,0.9745247525413416,0.23600927368941108,0.8640690124059955,1.0849804926766877
fast_t5_n10,df4,MDDM-DMOEA,0.7351938108792482,0.11024357315502896,0.6835982304274865,0.7867893913310101
fast_t5_n10,df4,NSGA-II,0.8292054515105798,0.14301880330652925,0.7622705911741873,0.8961403118469723
fast_t5_n10,df4,PPS-DMOEA,0.7546573693342367,0.12723175708098347,0.6951110740662167,0.8142036646022566
fast_t5_n10,df5,DNSGA-II-A,0.2922490368674968,0.033208745895817314,0.276706865369116,0.30779120836587776
fast_t5_n10,df5,DNSGA-II-B,0.27080498901447986,0.025658407180236254,0.258796484808341,0.2828134932206187
fast_t5_n10,df5,FITO,0.107120039365965,0.017349136843831457,0.09900039338410123,0.1152396853478287
fast_t5_n10,df5,KGB-DMOEA,0.30886483421171596,0.06935065634198521,0.27640772794898993,0.341321940474442
fast_t5_n10,df5,MDDM-DMOEA,0.22230742562849062,0.019639405663853297,0.21311590084428234,0.23149895041269897
fast_t5_n10,df5,NSGA-II,0.21069758714286907,0.043157190267136915,0.19049940035724344,0.2308957739284947
fast_t5_n10,df5,PPS-DMOEA,0.23311839032978562,0.019747223154139945,0.22387640540685913,0.24236037525271212
fast_t5_n10,df6,DNSGA-II-A,9.366758051954431,0.6945344871259118,9.041705906224035,9.691810197684827
fast_t5_n10,df6,DNSGA-II-B,12.239350051390947,0.8578066990617608,11.837884158306526,12.640815944475367
fast_t5_n10,df6,FITO,6.365831390614957,0.9970184709371488,5.899212382749613,6.8324503984803036
fast_t5_n10,df6,KGB-DMOEA,9.481375218361782,0.6923648589192094,9.157338489888698,9.80541194683487
fast_t5_n10,df6,MDDM-DMOEA,8.504903608901936,0.6124313347412768,8.21827692130004,8.791530296503835
fast_t5_n10,df6,NSGA-II,8.705775975227336,1.5292746247318738,7.990053419480403,9.421498530974269
fast_t5_n10,df6,PPS-DMOEA,10.743590314902194,0.785456119537408,10.375985535348,11.111195094456388
fast_t5_n10,df7,DNSGA-II-A,0.2928768691805649,0.03530124896773195,0.2763553760990501,0.3093983622620798
fast_t5_n10,df7,DNSGA-II-B,0.29613667450155534,0.04122793290994961,0.276841407952785,0.3154319410503257
fast_t5_n10,df7,FITO,0.27416780396812906,0.0940262639506006,0.2301621578574061,0.31817345007885217
fast_t5_n10,df7,KGB-DMOEA,0.3304290766010113,0.029024040466579325,0.31684540753013746,0.3440127456718851
fast_t5_n10,df7,MDDM-DMOEA,0.16784161083067078,0.04191776250222213,0.14822349409474211,0.18745972756659945
fast_t5_n10,df7,NSGA-II,0.15264220432702574,0.016202821379042245,0.1450590504969853,0.16022535815706618
fast_t5_n10,df7,PPS-DMOEA,0.2598726641797486,0.04622423428034806,0.23823905661081618,0.281506271748681
