protocol,problem,algorithm,mean,std,ci95_low,ci95_high
fast_t5_n10,df1,DNSGA-II-A,0.221175084367128,0.025119419224893497,0.20941883428897634,0.23293133444527964
fast_t5_n10,df1,DNSGA-II-B,0.5956811861573968,0.07549598110205363,0.5603479793748297,0.631014392939964
fast_t5_n10,df1,FITO,0.11609302437548859,0.019565855023936356,0.10693592235036281,0.12525012640061436
fast_t5_n10,df1,KGB-DMOEA,0.246312766864063,0.03914056477266721,0.22799441867504275,0.26463111505308323
fast_t5_n10,df1,MDDM-DMOEA,0.5152984303679496,0.07437346138414043,0.48049057898485625,0.5501062817510428
fast_t5_n10,df1,NSGA-II,0.11466349618776599,0.022647571287904112,0.10406410655460473,0.12526288582092723
fast_t5_n10,df1,PPS-DMOEA,0.5571169240347366,0.05270849015721158,0.5324485913005188,0.5817852567689539
fast_t5_n10,df2,DNSGA-II-A,0.14577654557956615,0.01599137270151417,0.1382923527768273,0.153260738382305
fast_t5_n10,df2,DNSGA-II-B,0.44255053051300575,0.06331471980329577,0.4129183295066227,0.4721827315193888
fast_t5_n10,df2,FITO,0.2494147504210956,0.01888166622966294,0.24057785860840092,0.2582516422337904
fast_t5_n10,df2,KGB-DMOEA,0.1860467428000645,0.025245522663450825,0.17423147449596893,0.19786201110416007
fast_t5_n10,df2,MDDM-DMOEA,0.38634737740780756,0.04498792409932702,0.3652923808143967,0.40740237400121854
fast_t5_n10,df2,NSGA-II,0.1028444806350028,0.017902682722486022,0.09446576720731437,0.11122319406269127
fast_t5_n10,df2,PPS-DMOEA,0.46912913570603737,0.07103267503668638,0.4358848204623237,0.5023734509497513
fast_t5_n10,df3,DNSGA-II-A,0.7794411462867421,0.07439917640466057,0.744621259903584,0.8142610326699002
fast_t5_n10,df3,DNSGA-II-B,0.7387285157622815,0.06969460613876295,0.7061104360395782,0.7713465954849847
fast_t5_n10,df3,FITO,0.538235306051266,0.10871888978203778,0.4873532993832929,0.5891173127192391
fast_t5_n10,df3,KGB-DMOEA,0.7136676734076847,0.08494163131175139,0.6739137662489756,0.7534215805663935
fast_t5_n10,df3,MDDM-DMOEA,0.6729577097111403,0.1119511938472337,0.620562938174726,0.7253524812475549
fast_t5_n10,df3,NSGA-II,0.6011256334411366,0.1354746771462937,0.5377215328315837,0.6645297340506896
fast_t5_n10,df3,PPS-DMOEA,0.7147178609846765,0.09562231021431589,0.669965242229222,0.7594704797401309
fast_t5_n10,df4,DNSGA-II-A,0.9312072304948329,0.1316161092305389,0.869608995258003,0.9928054657316628
fast_t5_n10,df4,DNSGA-II-B,0.8843474503015087,0.13774362846076696,0.8198814477893169,0.9488134528137006
fast_t5_n10,df4,FITO,0.3232257213900907,0.04904302049942866,0.3002728812620106,0.3461785615181708
fast_t5_n10,df4,KGB-DMOEA,1.0649980147318892,0.24240916557586037,0.9515470329941549,1.1784489964696234
fast_t5_n10,df4,MDDM-DMOEA,0.8093047364568016,0.11611052037853117,0.7549633401827351,0.8636461327308675
fast_t5_n10,df4,NSGA-II,0.9510420158853057,0.15114748959815413,0.8803028132591648,1.021781218511447
fast_t5_n10,df4,PPS-DMOEA,0.8631337913016287,0.14067183749971482,0.7972973447742,0.928970237829057
fast_t5_n10,df5,DNSGA-II-A,0.30626966574579056,0.03568320571732771,0.28956941140283554,0.3229699200887456
fast_t5_n10,df5,DNSGA-II-B,0.2818445570622954,0.03692072669309682,0.2645651250744335,0.29912398905015714
fast_t5_n10,df5,FITO,0.0671413528451699,0.0075934446924838,0.06358751133473459,0.07069519435560517
fast_t5_n10,df5,KGB-DMOEA,0.33048455662504084,0.04912728344311149,0.30749228022538994,0.35347683302469185
fast_t5_n10,df5,MDDM-DMOEA,0.23602242257535305,0.02858185807333524,0.22264570123478267,0.24939914391592344
fast_t5_n10,df5,NSGA-II,0.224921227716544,0.04278148250006236,0.20489887757851308,0.2449435778545748
fast_t5_n10,df5,PPS-DMOEA,0.28351250602665495,0.02700651696964345,0.2708730670176378,0.2961519450356721
fast_t5_n10,df6,DNSGA-II-A,9.143925909086825,0.8813109656419362,8.731459680630548,9.556392137543101
fast_t5_n10,df6,DNSGA-II-B,12.35134776039535,1.9642499318074185,11.432050494500134,13.270645026290568
fast_t5_n10,df6,FITO,5.091974554532353,0.5948629968394324,4.8135701021653725,5.370379006899335
fast_t5_n10,df6,KGB-DMOEA,9.400881914725089,1.1145059447933523,8.879277076521154,9.92248675292902
fast_t5_n10,df6,MDDM-DMOEA,9.114392364280665,0.6079259644770222,8.829874254868693,9.398910473692636
fast_t5_n10,df6,NSGA-II,9.49747118400846,1.8682186360431332,8.6231179479981,10.371824420018818
fast_t5_n10,df6,PPS-DMOEA,11.322860740200014,1.0107688436961266,10.84980635978982,11.795915120610204
