protocol,problem,parameter,value,lambda_1,stagnation_limit,seed,migd,tail_igd,n_evals,pitstop_count,redeployment_count,environment_change_count,change_response_count,replaced_count,runtime_sec
moderate_t10_n10,df1,lambda_1,0.05,0.05,8,0,0.100150165228463,0.02373621313273577,12196,4,6,6,6,48,1.4534261000007973
moderate_t10_n10,df1,lambda_1,0.05,0.05,8,1,0.07288183911372523,0.023013429548487178,12208,5,6,6,6,48,1.4629081999992195
moderate_t10_n10,df1,lambda_1,0.05,0.05,8,2,0.08493693589728685,0.020256709004226863,12196,4,6,6,6,48,1.4502576000013505
moderate_t10_n10,df1,lambda_1,0.05,0.05,8,3,0.08865596134251338,0.024989556677335205,12208,5,6,6,6,48,1.448817099997541
moderate_t10_n10,df1,lambda_1,0.05,0.05,8,4,0.10465862140761768,0.01971124141138913,12184,3,6,6,6,48,0.9643302000004041
moderate_t10_n10,df1,lambda_1,0.05,0.05,8,5,0.11105040129226337,0.021071291848389885,12208,5,6,6,6,48,0.9565346999988833
moderate_t10_n10,df1,lambda_1,0.05,0.05,8,6,0.08594077006849947,0.02117100060405569,12196,4,6,6,6,48,0.9795579999990878
moderate_t10_n10,df1,lambda_1,0.05,0.05,8,7,0.06446839370235793,0.022054898276489404,12220,6,6,6,6,48,0.9660713999983273
moderate_t10_n10,df1,lambda_1,0.05,0.05,8,8,0.07919593551554686,0.024578488159399677,12208,5,6,6,6,48,0.9524409000005107
moderate_t10_n10,df1,lambda_1,0.05,0.05,8,9,0.08507764495553034,0.023433104992707683,12196,4,6,6,6,48,0.9686585999988893
moderate_t10_n10,df4,lambda_1,0.05,0.05,8,0,0.3924327160413155,0.18010602900093942,12220,6,6,6,6,48,0.996912099999463
moderate_t10_n10,df4,lambda_1,0.05,0.05,8,1,0.41909333645405383,0.1858944021514469,12208,5,6,6,6,48,0.9967436999977508
moderate_t10_n10,df4,lambda_1,0.05,0.05,8,2,0.43637305510906205,0.18513441600398733,12220,6,6,6,6,48,1.0094958999980008
moderate_t10_n10,df4,lambda_1,0.05,0.05,8,3,0.42544439804580414,0.1837447754004222,12220,6,6,6,6,48,1.0069816000032006
moderate_t10_n10,df4,lambda_1,0.05,0.05,8,4,0.3695892181945567,0.1814167114538882,12208,5,6,6,6,48,0.9955659000006563
moderate_t10_n10,df4,lambda_1,0.05,0.05,8,5,0.36422786111996236,0.18198276021930265,12208,5,6,6,6,48,0.9923650999990059
moderate_t10_n10,df4,lambda_1,0.05,0.05,8,6,0.38932885953963486,0.18409677311592998,12220,6,6,6,6,48,1.0177086000003328
moderate_t10_n10,df4,lambda_1,0.05,0.05,8,7,0.5455845809047223,0.1828707365951867,12220,6,6,6,6,48,1.0284413999979733
moderate_t10_n10,df4,lambda_1,0.05,0.05,8,8,0.32019723485264007,0.17964053608268538,12220,6,6,6,6,48,1.0194984000008844
moderate_t10_n10,df4,lambda_1,0.05,0.05,8,9,0.32643816079390475,0.18285564914816851,12196,4,6,6,6,48,1.0446097999993071
moderate_t10_n10,df7,lambda_1,0.05,0.05,8,0,0.10757215286028457,0.016574674555312592,12220,6,6,6,6,48,1.0358341999999539
moderate_t10_n10,df7,lambda_1,0.05,0.05,8,1,0.09366488544256882,0.01337873806974211,12196,4,6,6,6,48,1.0247156000004907
moderate_t10_n10,df7,lambda_1,0.05,0.05,8,2,0.08632235404540115,0.01571951006325127,12196,4,6,6,6,48,1.076708000000508
moderate_t10_n10,df7,lambda_1,0.05,0.05,8,3,0.1058784139560018,0.015752135156358815,12220,6,6,6,6,48,1.0690658000021358
moderate_t10_n10,df7,lambda_1,0.05,0.05,8,4,0.1000501784144819,0.013675960845148088,12220,6,6,6,6,48,1.0362993000017013
moderate_t10_n10,df7,lambda_1,0.05,0.05,8,5,0.13775512788191965,0.014332554315496557,12208,5,6,6,6,48,1.0117385999983526
moderate_t10_n10,df7,lambda_1,0.05,0.05,8,6,0.09520758463117317,0.014127505493035656,12196,4,6,6,6,48,1.000435900001321
moderate_t10_n10,df7,lambda_1,0.05,0.05,8,7,0.1011225785176894,0.013398526438008656,12220,6,6,6,6,48,0.9753353999985848
moderate_t10_n10,df7,lambda_1,0.05,0.05,8,8,0.13587121174095854,0.014725015715288134,12208,5,6,6,6,48,0.9763770999998087
moderate_t10_n10,df7,lambda_1,0.05,0.05,8,9,0.13787086767369983,0.01517983082287882,12208,5,6,6,6,48,0.9839419999989332
moderate_t10_n10,df9,lambda_1,0.05,0.05,8,0,0.15918829923929817,0.19576301158913303,12208,5,6,6,6,48,1.0811823000003642
moderate_t10_n10,df9,lambda_1,0.05,0.05,8,1,0.23694943106006416,0.26276981096134616,12220,6,6,6,6,48,1.092222999999649
moderate_t10_n10,df9,lambda_1,0.05,0.05,8,2,0.15519773322909944,0.16605518819135784,12220,6,6,6,6,48,1.0886794999969425
moderate_t10_n10,df9,lambda_1,0.05,0.05,8,3,0.20497082100156377,0.18532545637841158,12220,6,6,6,6,48,1.0924655000017083
moderate_t10_n10,df9,lambda_1,0.05,0.05,8,4,0.20829980705372347,0.20983727352551923,12208,5,6,6,6,48,1.0856988000014098
moderate_t10_n10,df9,lambda_1,0.05,0.05,8,5,0.1923802568432638,0.16231672581123094,12220,6,6,6,6,48,1.0809597999977996
moderate_t10_n10,df9,lambda_1,0.05,0.05,8,6,0.1720005806929969,0.10621468425508356,12220,6,6,6,6,48,1.1126810999994632
moderate_t10_n10,df9,lambda_1,0.05,0.05,8,7,0.16581661280560345,0.11306169962954624,12220,6,6,6,6,48,1.114851099999214
moderate_t10_n10,df9,lambda_1,0.05,0.05,8,8,0.16754167334604833,0.13032702518358047,12220,6,6,6,6,48,1.09914519999802
moderate_t10_n10,df9,lambda_1,0.05,0.05,8,9,0.19240046203740002,0.13498712506570626,12220,6,6,6,6,48,1.0978044999974372
moderate_t10_n10,df1,lambda_1,0.08,0.08,8,0,0.0830731425068188,0.01876057384871092,12220,6,6,6,6,48,0.9763797000014165
moderate_t10_n10,df1,lambda_1,0.08,0.08,8,1,0.07714093648717525,0.022186555414945977,12196,4,6,6,6,48,0.9616096999998263
moderate_t10_n10,df1,lambda_1,0.08,0.08,8,2,0.07941942348082656,0.021224430377883668,12208,5,6,6,6,48,0.970202500000596
moderate_t10_n10,df1,lambda_1,0.08,0.08,8,3,0.08954044396376613,0.019939004581323267,12208,5,6,6,6,48,0.9719124000002921
moderate_t10_n10,df1,lambda_1,0.08,0.08,8,4,0.11424305429991449,0.024604936905140706,12196,4,6,6,6,48,0.967813200000819
moderate_t10_n10,df1,lambda_1,0.08,0.08,8,5,0.07922626675096768,0.01866101866291891,12196,4,6,6,6,48,0.9720049999996263
moderate_t10_n10,df1,lambda_1,0.08,0.08,8,6,0.08109433050690376,0.027815760368404895,12208,5,6,6,6,48,0.9729265999994823
moderate_t10_n10,df1,lambda_1,0.08,0.08,8,7,0.056571256783874896,0.015267629109970943,12196,4,6,6,6,48,0.97472370000105
moderate_t10_n10,df1,lambda_1,0.08,0.08,8,8,0.09452146671695077,0.02190683239846591,12208,5,6,6,6,48,0.969184800000221
moderate_t10_n10,df1,lambda_1,0.08,0.08,8,9,0.0827976383643692,0.01435845995783594,12208,5,6,6,6,48,0.9829118000016024
moderate_t10_n10,df4,lambda_1,0.08,0.08,8,0,0.4344072863387033,0.18518437135677926,12220,6,6,6,6,48,1.049204999999347
moderate_t10_n10,df4,lambda_1,0.08,0.08,8,1,0.33035428230446,0.18394103710466408,12208,5,6,6,6,48,1.0171477000003506
moderate_t10_n10,df4,lambda_1,0.08,0.08,8,2,0.37078225238387114,0.18027340841564854,12208,5,6,6,6,48,0.9802319000009447
moderate_t10_n10,df4,lambda_1,0.08,0.08,8,3,0.4042013511835283,0.17927367029162505,12220,6,6,6,6,48,1.0003111999976682
moderate_t10_n10,df4,lambda_1,0.08,0.08,8,4,0.4320751310915586,0.17609269874979824,12196,4,6,6,6,48,0.9991721000005782
moderate_t10_n10,df4,lambda_1,0.08,0.08,8,5,0.37682475794487436,0.17835424725128418,12220,6,6,6,6,48,1.0017190999969898
moderate_t10_n10,df4,lambda_1,0.08,0.08,8,6,0.421884268041163,0.179604110909143,12220,6,6,6,6,48,1.000735400000849
moderate_t10_n10,df4,lambda_1,0.08,0.08,8,7,0.3904633118698305,0.18110783257799107,12220,6,6,6,6,48,1.0009004999992612
