protocol,problem,parameter,value,mean_migd,std_migd,ci95_low,ci95_high,mean_tail_igd,mean_pitstop_count,mean_redeployment_count,mean_runtime_sec,n_runs
moderate_t10_n10,OVERALL,lambda_1,0.05,0.19554467805131753,0.12937743875495555,0.15545019438946686,0.2356391617131682,0.09663202937231523,5.225,6.0,1.0711866999996347,40
moderate_t10_n10,df1,lambda_1,0.05,0.08770166685238041,0.014290506655429339,0.07884431906238587,0.09655901464237496,0.022401593365521645,4.5,6.0,1.160300279999501,10
moderate_t10_n10,df4,lambda_1,0.05,0.3988709421055656,0.06469803244011277,0.358770686147691,0.43897119806344026,0.18277427891719572,5.5,6.0,1.0108322499996576,10
moderate_t10_n10,df7,lambda_1,0.05,0.11013153551641788,0.019616463841095572,0.0979731252626832,0.12228994577015256,0.01468644514745207,5.1,6.0,1.019045190000179,10
moderate_t10_n10,df9,lambda_1,0.05,0.18547456773090615,0.026127125939610498,0.16928080730099188,0.20166832816082042,0.1666658000590915,5.8,6.0,1.0945690799992007,10
moderate_t10_n10,OVERALL,lambda_1,0.08,0.18593054886601199,0.1190356757087169,0.1490410107764531,0.22282008695557087,0.08934659533476833,5.175,6.0,1.0079468950000774,40
moderate_t10_n10,df1,lambda_1,0.08,0.08376279598615674,0.014565476792462617,0.07473501993953766,0.09279057203277583,0.020472520162560116,4.7,6.0,0.9719669400004932,10
moderate_t10_n10,df4,lambda_1,0.08,0.3751548085812737,0.05250121755144606,0.34261421681193643,0.40769540035061097,0.18016421361703977,5.5,6.0,1.0038660399997752,10
moderate_t10_n10,df7,lambda_1,0.08,0.11350525426978793,0.029887061594984034,0.09498106157664864,0.1320294469629272,0.012987012371045437,4.6,6.0,0.9666771800006245,10
moderate_t10_n10,df9,lambda_1,0.08,0.1712993366268296,0.00953721517190941,0.1653881094210734,0.17721056383258582,0.14376263518842797,5.9,6.0,1.0892774199994164,10
moderate_t10_n10,OVERALL,lambda_1,0.1,0.18476929642996065,0.10577337570818023,0.1519897876917883,0.217548805168133,0.08892010851603757,5.2,6.0,0.99912772499938,40
moderate_t10_n10,df1,lambda_1,0.1,0.09031013337059109,0.013104191352161381,0.08218807142335881,0.09843219531782336,0.02222261431752893,4.7,6.0,0.9643807999993441,10
moderate_t10_n10,df4,lambda_1,0.1,0.3448972002535811,0.05511614532593406,0.31073585945813725,0.379058541049025,0.1805164734217849,5.2,6.0,1.005601569999999,10
moderate_t10_n10,df7,lambda_1,0.1,0.1298316301700471,0.04973655645793064,0.09900459309944608,0.1606586672406481,0.01315776531979948,5.1,6.0,0.9457093599987274,10
moderate_t10_n10,df9,lambda_1,0.1,0.1740382219256233,0.03021284148668661,0.15531210876364604,0.19276433508760055,0.139783581005037,5.8,6.0,1.0808191699994496,10
moderate_t10_n10,OVERALL,lambda_1,0.12,0.1836089447546208,0.09648017106850675,0.1537094299719429,0.21350845953729872,0.0929909633332503,5.0,6.0,1.0111927149998337,40
moderate_t10_n10,df1,lambda_1,0.12,0.09513158626823853,0.010760744929203033,0.0884620074621463,0.10180116507433076,0.019702636046978843,4.9,6.0,0.9691399599996657,10
moderate_t10_n10,df4,lambda_1,0.12,0.3314383249001499,0.04595442239530968,0.30295547880813056,0.35992117099216925,0.18131061425146652,4.8,6.0,1.0106418100003793,10
moderate_t10_n10,df7,lambda_1,0.12,0.13537611787433632,0.04291836145116938,0.10877504185123564,0.16197719389743698,0.012959529044437793,4.7,6.0,0.9680717999999615,10
moderate_t10_n10,df9,lambda_1,0.12,0.17248974997575844,0.023767651439755587,0.1577584069919673,0.18722109295954958,0.15799107399011802,5.6,6.0,1.0969172899993282,10
moderate_t10_n10,OVERALL,lambda_1,0.15,0.1782958007293301,0.09058167557785371,0.1502242486374844,0.2063673528211758,0.09346153817244471,5.275,6.0,1.0275049850000868,40
moderate_t10_n10,df1,lambda_1,0.15,0.09322435571622337,0.013734129990239102,0.08471185375602697,0.10173685767641977,0.018769311956301625,5.0,6.0,0.9821156100002554,10
moderate_t10_n10,df4,lambda_1,0.15,0.30437235837469623,0.050202721823919876,0.2732563890168241,0.33548832773256837,0.1803698759964767,5.3,6.0,1.0038187700003618,10
moderate_t10_n10,df7,lambda_1,0.15,0.14563514377573814,0.06772454119756058,0.10365903825559517,0.1876112492958811,0.012577254223272416,5.2,6.0,1.0251738000002661,10
moderate_t10_n10,df9,lambda_1,0.15,0.1699513450506626,0.0359762333955086,0.147653044574593,0.19224964552673218,0.16212971051372815,5.6,6.0,1.0989117599994642,10
moderate_t10_n10,OVERALL,stagnation_limit,4.0,0.1776203293605597,0.11081263714450891,0.14327913732373002,0.21196152139738936,0.0880357936578788,11.0,6.0,1.0361375824998504,40
moderate_t10_n10,df1,stagnation_limit,4.0,0.07853027168198896,0.010656525730316856,0.07192528860459882,0.08513525475937911,0.01813408661325119,10.4,6.0,0.9991110200004186,10
moderate_t10_n10,df4,stagnation_limit,4.0,0.34679741267165387,0.05489719840200316,0.3127717765856066,0.3808230487577011,0.18281101370037217,11.5,6.0,1.015744010000344,10
moderate_t10_n10,df7,stagnation_limit,4.0,0.11549177423719584,0.046686453169964455,0.08655521077038818,0.14442833770400348,0.013578098273436121,10.2,6.0,1.034378969998943,10
moderate_t10_n10,df9,stagnation_limit,4.0,0.16966185885140012,0.028879029825154518,0.15176245072216932,0.18756126698063091,0.13761997604445564,11.9,6.0,1.095316329999696,10
moderate_t10_n10,OVERALL,stagnation_limit,6.0,0.18496291231925527,0.10604875349495886,0.1520980631208057,0.21782776151770483,0.09429961353770029,5.625,6.0,1.027430765000463,40
moderate_t10_n10,df1,stagnation_limit,6.0,0.08523765639667671,0.01129245939465857,0.0782385175505476,0.09223679524280583,0.018483681369747755,5.8,6.0,0.9880083799998829,10
moderate_t10_n10,df4,stagnation_limit,6.0,0.3462764909738516,0.054571544022889884,0.31245269756313354,0.38010028438456966,0.18231165792165654,5.8,6.0,1.008430080000835,10
moderate_t10_n10,df7,stagnation_limit,6.0,0.1305322197512311,0.04039993391957514,0.10549208128402549,0.15557235821843673,0.01281531541205207,4.9,6.0,1.0294206700003996,10
moderate_t10_n10,df9,stagnation_limit,6.0,0.1778052821552617,0.026154124895481724,0.16159478759912754,0.19401577671139586,0.16358779944734478,6.0,6.0,1.0838639300007344,10
moderate_t10_n10,OVERALL,stagnation_limit,8.0,0.18476929642996065,0.10577337570818023,0.1519897876917883,0.217548805168133,0.08892010851603757,5.2,6.0,1.0478041424998992,40
