family,universe,algorithm,environment_change_count_mean,environment_change_count_std,environment_change_count_min,environment_change_count_max,change_response_count_mean,change_response_count_std,change_response_count_min,change_response_count_max,prediction_count_mean,prediction_count_std,prediction_count_min,prediction_count_max,replaced_count_mean,replaced_count_std,replaced_count_min,replaced_count_max,kde_success_count_mean,kde_success_count_std,kde_success_count_min,kde_success_count_max,kde_fallback_count_mean,kde_fallback_count_std,kde_fallback_count_min,kde_fallback_count_max,response_evaluation_count_mean,response_evaluation_count_std,response_evaluation_count_min,response_evaluation_count_max,response_activation_rate_mean,response_activation_rate_std,response_activation_rate_min,response_activation_rate_max
budget,market20,DNSGA-II-A,37.0,0.0,37,37,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
budget,market20,DNSGA-II-B,37.0,0.0,37,37,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
budget,market20,FITO,38.0,0.0,38,38,38.0,0.0,38,38,38.0,0.0,38,38,228.0,0.0,228,228,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
budget,market20,KGB-DMOEA,37.0,0.0,37,37,37.0,0.0,37,37,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
budget,market20,MDDM-DMOEA,37.0,0.0,37,37,37.0,0.0,37,37,37.0,0.0,37,37,2923.0,0.0,2923,2923,37.0,0.0,37,37,0.0,0.0,0,0,5846.0,0.0,5846,5846,1.0,0.0,1.0,1.0
budget,market20,NSGA-II,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
budget,market20,PPS-DMOEA,37.0,0.0,37,37,37.0,0.0,37,37,37.0,0.0,37,37,2923.0,0.0,2923,2923,0.0,0.0,0,0,0.0,0.0,0,0,5846.0,0.0,5846,5846,1.0,0.0,1.0,1.0
budget,tech14,DNSGA-II-A,37.0,0.0,37,37,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
budget,tech14,DNSGA-II-B,37.0,0.0,37,37,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
budget,tech14,FITO,38.0,0.0,38,38,38.0,0.0,38,38,38.0,0.0,38,38,228.0,0.0,228,228,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
budget,tech14,KGB-DMOEA,37.0,0.0,37,37,37.0,0.0,37,37,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
budget,tech14,MDDM-DMOEA,37.0,0.0,37,37,37.0,0.0,37,37,37.0,0.0,37,37,2923.0,0.0,2923,2923,37.0,0.0,37,37,0.0,0.0,0,0,5846.0,0.0,5846,5846,1.0,0.0,1.0,1.0
budget,tech14,NSGA-II,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
budget,tech14,PPS-DMOEA,37.0,0.0,37,37,37.0,0.0,37,37,37.0,0.0,37,37,2923.0,0.0,2923,2923,0.0,0.0,0,0,0.0,0.0,0,0,5846.0,0.0,5846,5846,1.0,0.0,1.0,1.0
main,market20,DNSGA-II-A,37.0,0.0,37,37,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
main,market20,DNSGA-II-B,37.0,0.0,37,37,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
main,market20,FITO,38.0,0.0,38,38,38.0,0.0,38,38,38.0,0.0,38,38,304.0,0.0,304,304,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
main,market20,KGB-DMOEA,37.0,0.0,37,37,37.0,0.0,37,37,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
main,market20,MDDM-DMOEA,37.0,0.0,37,37,37.0,0.0,37,37,37.0,0.0,37,37,1850.0,0.0,1850,1850,37.0,0.0,37,37,0.0,0.0,0,0,3700.0,0.0,3700,3700,1.0,0.0,1.0,1.0
main,market20,NSGA-II,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
main,market20,PPS-DMOEA,37.0,0.0,37,37,37.0,0.0,37,37,37.0,0.0,37,37,1850.0,0.0,1850,1850,0.0,0.0,0,0,0.0,0.0,0,0,3700.0,0.0,3700,3700,1.0,0.0,1.0,1.0
main,tech14,DNSGA-II-A,37.0,0.0,37,37,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
main,tech14,DNSGA-II-B,37.0,0.0,37,37,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
main,tech14,FITO,38.0,0.0,38,38,38.0,0.0,38,38,38.0,0.0,38,38,304.0,0.0,304,304,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
main,tech14,KGB-DMOEA,37.0,0.0,37,37,37.0,0.0,37,37,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,1.0,1.0
main,tech14,MDDM-DMOEA,37.0,0.0,37,37,37.0,0.0,37,37,37.0,0.0,37,37,1850.0,0.0,1850,1850,37.0,0.0,37,37,0.0,0.0,0,0,3700.0,0.0,3700,3700,1.0,0.0,1.0,1.0
main,tech14,NSGA-II,37.0,0.0,37,37,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
main,tech14,PPS-DMOEA,37.0,0.0,37,37,37.0,0.0,37,37,37.0,0.0,37,37,1850.0,0.0,1850,1850,0.0,0.0,0,0,0.0,0.0,0,0,3700.0,0.0,3700,3700,1.0,0.0,1.0,1.0
