family,universe,algorithm,expected_seed_count,observed_seed_count,row_count,missing_seeds,coverage_ok
main,tech14,FITO,20,20,180,,True
main,tech14,DNSGA-II-A,20,20,180,,True
main,tech14,DNSGA-II-B,20,20,180,,True
main,tech14,KGB-DMOEA,20,20,180,,True
main,tech14,MDDM-DMOEA,20,20,180,,True
main,tech14,NSGA-II,20,20,180,,True
main,tech14,PPS-DMOEA,20,20,180,,True
main,market20,FITO,20,20,180,,True
main,market20,DNSGA-II-A,20,20,180,,True
main,market20,DNSGA-II-B,20,20,180,,True
main,market20,KGB-DMOEA,20,20,180,,True
main,market20,MDDM-DMOEA,20,20,180,,True
main,market20,NSGA-II,20,20,180,,True
main,market20,PPS-DMOEA,20,20,180,,True
budget,tech14,FITO,20,20,180,,True
budget,tech14,DNSGA-II-A,20,20,180,,True
budget,tech14,DNSGA-II-B,20,20,180,,True
budget,tech14,KGB-DMOEA,20,20,180,,True
budget,tech14,MDDM-DMOEA,20,20,180,,True
budget,tech14,NSGA-II,20,20,180,,True
budget,tech14,PPS-DMOEA,20,20,180,,True
budget,market20,FITO,20,20,180,,True
budget,market20,DNSGA-II-A,20,20,180,,True
budget,market20,DNSGA-II-B,20,20,180,,True
budget,market20,KGB-DMOEA,20,20,180,,True
budget,market20,MDDM-DMOEA,20,20,180,,True
budget,market20,NSGA-II,20,20,180,,True
budget,market20,PPS-DMOEA,20,20,180,,True
