family,metric,universe,baseline,fito_mean,baseline_mean,mann_whitney_u,p_value,fito_better,cliffs_delta,holm_p_value,holm_scope
main,mhv,tech14,DNSGA-II-A,0.4147518010238154,0.4148592905533584,239.0,0.29767675447218034,False,0.195,0.5953535089443607,main_mhv_12_comparisons
main,mhv,tech14,DNSGA-II-B,0.4147518010238154,0.3947366042570867,299.0,0.007711805017936966,True,0.495,0.05398263512555876,main_mhv_12_comparisons
main,mhv,tech14,KGB-DMOEA,0.4147518010238154,0.34824794367244455,380.0,1.2008881938423432e-06,True,0.9,1.2008881938423432e-05,main_mhv_12_comparisons
main,mhv,tech14,MDDM-DMOEA,0.4147518010238154,0.4247402311878451,173.0,0.4734806277722057,False,-0.135,0.5953535089443607,main_mhv_12_comparisons
main,mhv,tech14,NSGA-II,0.4147518010238154,0.37599917643849723,344.0,0.00010373400726161331,True,0.72,0.0009336060653545198,main_mhv_12_comparisons
main,mhv,tech14,PPS-DMOEA,0.4147518010238154,0.3915742410020476,302.0,0.006040329507995924,True,0.51,0.04832263606396739,main_mhv_12_comparisons
main,mhv,market20,DNSGA-II-A,0.23932565410427506,0.27900555710136016,14.0,5.226885322685757e-07,False,-0.93,5.749573854954333e-06,main_mhv_12_comparisons
main,mhv,market20,DNSGA-II-B,0.23932565410427506,0.2505771801038018,128.0,0.05310312455977325,False,-0.36,0.212412498239093,main_mhv_12_comparisons
main,mhv,market20,KGB-DMOEA,0.23932565410427506,0.25604665119457265,103.0,0.00904539678500551,False,-0.485,0.054272380710033055,main_mhv_12_comparisons
main,mhv,market20,MDDM-DMOEA,0.23932565410427506,0.2857527571274425,9.0,2.562945863395653e-07,False,-0.955,3.0755350360747833e-06,main_mhv_12_comparisons
main,mhv,market20,NSGA-II,0.23932565410427506,0.255186833907759,108.0,0.013320516023599963,False,-0.46,0.06660258011799981,main_mhv_12_comparisons
main,mhv,market20,PPS-DMOEA,0.23932565410427506,0.24791437380082781,147.0,0.1555699325877425,False,-0.265,0.46670979776322746,main_mhv_12_comparisons
main,migd,tech14,DNSGA-II-A,0.0010818396999637602,0.0010617130957913648,194.0,0.8817307917391243,False,-0.03,0.8817307917391243,main_migd_12_comparisons
main,migd,tech14,DNSGA-II-B,0.0010818396999637602,0.00112521360413863,140.0,0.10751135969600563,True,-0.3,0.4809814812459783,main_migd_12_comparisons
main,migd,tech14,KGB-DMOEA,0.0010818396999637602,0.00129700394072876,25.0,2.355659136230732e-06,True,-0.875,1.8845273089845855e-05,main_migd_12_comparisons
